,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
111,Mystic River,Dennis Lehane,4046,147246,4.13,416,2001,2001,0,"['Mystery', 'Fiction', 'Thriller']","['Barry Award for Best Novel (2002)', 'Macavity Award Nominee for Best Mystery Novel (2002)', 'Anthony Award for Best Novel (2002)', 'Hammett Prize Nominee (2001)', 'Dilys Award (2002)', '', '', '']","['Boston, Massachusetts']",https://www.goodreads.com/book/show/21671.Mystic_River
112,The Shadow of the Wind,Carlos Ruiz Zafón,40509,529106,4.27,487,2005,2001,1,"['Fiction', 'Historical > Historical Fiction', 'Mystery']","['Barry Award for Best First Novel (2005)', 'Gumshoe Award Nominee for Best European Crime Novel (2005)', 'Borders Original Voices Award for Fiction (2004)', 'Dilys Award Nominee (2005)', ""Humo's Gouden Bladwijzer (2006)"", '', '', '', '']","['Spain', 'Barcelona, Catalonia']",https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind
113,The Alienist,Caleb Carr,7703,169246,4.05,498,2006,1994,1,"['Historical > Historical Fiction', 'Mystery', 'Fiction']","['Anthony Award for Best First Novel (1995)', 'Grand Prix de Littérature Policière for Romans étrangers (1996)', ""Lambda Literary Award Nominee for Gay Men's Mystery (1995)"", 'Palle Rosenkrantz Prisen (1997)']",['New York (State)'],https://www.goodreads.com/book/show/40024.The_Alienist
114,The Big Sleep,Raymond Chandler,6340,144983,3.95,231,1988,1939,1,"['Mystery', 'Fiction', 'Classics']","['Anthony Award Nominee for Best Novel of the Century (2000)', 'CWA Best Ever Nominee for Crime Novel (2013)']","['Los Angeles area, California', 'Los Angeles, California', 'Hollywood, California']",https://www.goodreads.com/book/show/2052.The_Big_Sleep
115,One for the Money,Janet Evanovich,15399,508718,4.03,320,2006,1994,1,"['Mystery', 'Fiction', 'Humor']","['Anthony Award Nominee for Best Novel (1995)', 'Shamus Award Nominee for Best First PI Novel (1995)', 'Dilys Award (1995)', 'CWA New Blood Dagger (1995)', 'Agatha Award Nominee for Best First Novel (1994)', '']","['Trenton, New Jersey']",https://www.goodreads.com/book/show/6853.One_for_the_Money
116,Red Dragon,Thomas Harris,5709,304845,4.03,454,2000,1981,1,"['Horror', 'Fiction', 'Thriller']",,"['St. Louis, Missouri']",https://www.goodreads.com/book/show/28877.Red_Dragon
117,The Maltese Falcon,Dashiell Hammett,5410,101851,3.89,213,2005,1929,0,"['Mystery', 'Fiction', 'Classics']","['Anthony Award Nominee for Best Novel of the Century (2000)', 'Audie Award for Audiobook Adaptation (2010)', 'Grammy Award Nominee for Best Spoken Word Album (2010)']","['San Francisco, California', 'California']",https://www.goodreads.com/book/show/29999.The_Maltese_Falcon
118,In the Woods,Tana French,23801,351817,3.77,429,2008,2007,1,"['Mystery', 'Fiction', 'Thriller']","['Barry Award for Best First Novel (2008)', 'Macavity Award for Best First Mystery Novel (2008)', 'Anthony Award for Best First Novel (2008)', 'Edgar Award for Best First Novel by an American Author (2008)']","['Dublin', 'Ireland']",https://www.goodreads.com/book/show/2459785.In_the_Woods
119,Presumed Innocent,Scott Turow,1649,115697,4.1,421,1988,1987,1,"['Mystery', 'Fiction', 'Thriller']","['CWA Silver Dagger for Fiction (1987)', 'Martin Beck Award (1988)']",,https://www.goodreads.com/book/show/425029.Presumed_Innocent
120,Midnight in the Garden of Good and Evil,John Berendt,9739,247623,3.91,386,1999,1994,0,"['Nonfiction', 'Crime > True Crime', 'Mystery']","['Pulitzer Prize Nominee for General Nonfiction (1995)', 'Exclusive Books Boeke Prize (1995)', 'Ferro-Grumley Award for Gay Fiction (Non-Fiction) (1994)', ""Lambda Literary Award for Gay Men's Mystery (1995)""]","['Savannah, Georgia']",https://www.goodreads.com/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil
